Tipo, Expoente, Ordem, Valor aproximado, Erro Absoluto, Erro Relativo
float, -20.0, 100, 0.000000, 1.000000, 484442848.000000
float, -20.0, 50, 0.000000, 1.000000, 484442848.000000
float, -20.0, 30, 0.000000, 1.000000, 474579776.000000
float, -20.0, 25, 0.000000, 1.000000, 409104576.000000
float, -20.0, 10, 0.000000, 1.000000, 2423599.250000
float, -10.0, 100, 0.000045, 0.999955, 22025.466797
float, -10.0, 50, 0.000045, 0.999955, 22025.466797
float, -10.0, 30, 0.000045, 0.999955, 22025.460938
float, -10.0, 25, 0.000045, 0.999955, 22024.431641
float, -10.0, 10, 0.000099, 0.999901, 10085.573242
float, -2.0, 100, 0.135335, 0.864665, 6.389057
float, -2.0, 50, 0.135335, 0.864665, 6.389057
float, -2.0, 30, 0.135335, 0.864665, 6.389057
float, -2.0, 25, 0.135335, 0.864665, 6.389057
float, -2.0, 10, 0.135342, 0.864658, 6.388713
float, -1.0, 100, 0.367879, 0.632121, 1.718282
float, -1.0, 50, 0.367879, 0.632121, 1.718282
float, -1.0, 30, 0.367879, 0.632121, 1.718282
float, -1.0, 25, 0.367879, 0.632121, 1.718282
float, -1.0, 10, 0.367879, 0.632121, 1.718282
float, 1.0, 100, 2.718282, -1.718282, -0.632121
float, 1.0, 50, 2.718282, -1.718282, -0.632121
float, 1.0, 30, 2.718282, -1.718282, -0.632121
float, 1.0, 25, 2.718282, -1.718282, -0.632121
float, 1.0, 10, 2.718282, -1.718282, -0.632121
float, 2.0, 100, 7.389057, -6.389057, -0.864665
float, 2.0, 50, 7.389057, -6.389057, -0.864665
float, 2.0, 30, 7.389057, -6.389057, -0.864665
float, 2.0, 25, 7.389057, -6.389057, -0.864665
float, 2.0, 10, 7.388713, -6.388713, -0.864658
float, 10.0, 100, 22026.466797, -22025.466797, -0.999955
float, 10.0, 50, 22026.466797, -22025.466797, -0.999955
float, 10.0, 30, 22026.460938, -22025.460938, -0.999955
float, 10.0, 25, 22025.431641, -22024.431641, -0.999955
float, 10.0, 10, 10086.573242, -10085.573242, -0.999901
float, 20.0, 100, 484442816.000000, -484442816.000000, -1.000000
float, 20.0, 50, 484442816.000000, -484442816.000000, -1.000000
float, 20.0, 30, 474579776.000000, -474579776.000000, -1.000000
float, 20.0, 25, 409104576.000000, -409104576.000000, -1.000000
float, 20.0, 10, 2423600.250000, -2423599.250000, -1.000000
double, -20.0, 100, 0.000000, 1.000000, 485165194.409790
double, -20.0, 50, 0.000000, 1.000000, 485165188.365153
